g,203.07937,,GlcNAc
m,277.1162,,MurNAc
g(+Ac),245.08994,,Acetylated GlcNAc
m(+Ac),319.12672,,Acetylated MurNAc
g(-Ac),161.06881,,De-acetylated GlcNAc
m(-Ac),235.10559,,De-acetylated MurNAc
Lac,72.02113,,Lactyl group
A,71.03714,,Alanine
C,103.00919,,Cysteine
D,115.02694,,Aspartate
E,129.04259,,Glutamic acid
F,147.06841,,Phenylalanine
G,57.02146,,Glycine
H,137.05891,,Histidine
I,113.08406,,Isoleucine or Leucine
J,172.08479,,Meso-DAP
K,128.09496,,Lysine
M,131.04049,,Methionine
N,114.04293,,Asparagine
P,97.05276,,Proline
Q,128.05858,,Glutamine
R,156.10111,,Arginine
S,87.03203,,Serine
T,101.04768,,Threonine
V,99.06841,,Valine
W,186.07931,,Tryptophane
Y,163.06333,,Tyrosine
H2O,18.0106,,Water
B,118.07423,,Diaminobutyric acid
O,132.08987,,Ornithine
X,163.04807,,threo-3-hydroxglutamate
U,,,User defined
Z,,,User defined
